query,key,raw_score,attention_weight,cosine_similarity
it,the,-0.29315197467803955,3.5928798070017365e-07,-0.02043045125901699
it,animal,-3.0989818572998047,2.172129853761362e-08,-0.21570074558258057
it,did,-1.1503369808197021,1.5246558859871584e-07,-0.0815325677394867
it,not,2.9287304878234863,9.009249879454728e-06,0.23129786550998688
it,cross,-3.563737392425537,1.3647266428051807e-08,-0.20588243007659912
it,the,-3.331362247467041,1.7217278269754388e-08,-0.2933265268802643
it,street,4.6065521240234375,4.823442577617243e-05,0.36952605843544006
it,because,5.707310676574707,0.00014501418627332896,0.3244933784008026
it,it,14.5455904006958,0.9996008276939392,1.0
it,was,6.008180618286133,0.00019591902673710138,0.4714781641960144
it,tired,-0.13827785849571228,4.1947257045649167e-07,-0.010498945601284504
